,actual_categories,predicted_categories
1045,Juvenile Nonfiction,History
1046,Juvenile Nonfiction,Poetry
1047,Juvenile Nonfiction,History
1048,Juvenile Nonfiction,Poetry
1049,Juvenile Nonfiction,History
1050,Comics & Graphic Novels,Comics & Graphic Novels
1051,Comics & Graphic Novels,History
1052,Comics & Graphic Novels,Fiction
1053,Comics & Graphic Novels,Science
1054,Comics & Graphic Novels,Drama
1055,Comics & Graphic Novels,Drama
1056,Comics & Graphic Novels,Drama
1057,Comics & Graphic Novels,Drama
1058,Comics & Graphic Novels,Drama
1059,Comics & Graphic Novels,History
1060,Comics & Graphic Novels,Drama
1061,Comics & Graphic Novels,Fiction
1062,Comics & Graphic Novels,History
1063,Comics & Graphic Novels,Drama
1064,Comics & Graphic Novels,Drama
1065,Comics & Graphic Novels,Fiction
1066,Comics & Graphic Novels,Drama
1067,Comics & Graphic Novels,Drama
1068,Comics & Graphic Novels,Comics & Graphic Novels
1069,Comics & Graphic Novels,History
1070,Comics & Graphic Novels,History
1071,Comics & Graphic Novels,Drama
1072,Comics & Graphic Novels,Fiction
1073,Comics & Graphic Novels,Comics & Graphic Novels
1074,Comics & Graphic Novels,Comics & Graphic Novels
1075,Comics & Graphic Novels,Biography & Autobiography
1076,Comics & Graphic Novels,Biography & Autobiography
1077,Comics & Graphic Novels,Drama
1078,Comics & Graphic Novels,Biography & Autobiography
1079,Comics & Graphic Novels,Drama
1080,Comics & Graphic Novels,Biography & Autobiography
1081,Comics & Graphic Novels,Drama
1082,Comics & Graphic Novels,Philosophy
1083,Comics & Graphic Novels,History
1084,Comics & Graphic Novels,Drama
1085,Comics & Graphic Novels,Biography & Autobiography
1086,Comics & Graphic Novels,Philosophy
1087,Comics & Graphic Novels,Drama
1088,Comics & Graphic Novels,Fiction
1089,Comics & Graphic Novels,History
1090,Comics & Graphic Novels,Drama
1091,Comics & Graphic Novels,Biography & Autobiography
1092,Comics & Graphic Novels,Fiction
1093,Comics & Graphic Novels,Biography & Autobiography
1094,Comics & Graphic Novels,Philosophy
1095,Comics & Graphic Novels,Fiction
1096,Comics & Graphic Novels,Biography & Autobiography
1097,Comics & Graphic Novels,Biography & Autobiography
1098,Comics & Graphic Novels,Fiction
1099,Comics & Graphic Novels,Comics & Graphic Novels
